qid,query,new_query,cnt_results,relevant_found,share
844,herzinfakt,herzinfakt,1.0,0,0.0
845,soja,soja,1.0,0,0.0
846,vegetarismus,vegetarismus,1.0,0,0.0
847,gender,gender,1.0,0,0.0
848,contergan,contergan,1.0,0,0.0
849,kompressionstherapie,kompressionstherapie,1.0,0,0.0
850,grundlagen AND der AND ergotherapie,"grundlagen,der,ergotherapie",1.0,0,0.0
851,vitalzeichen,vitalzeichen,1.0,0,0.0
852,ms,ms,1.0,0,0.0
853,uptodate,uptodate,1.0,0,0.0
854,prostata,prostata,1.0,0,0.0
855,mbsr,mbsr,1.0,0,0.0
856,endspurt AND physiologie,"endspurt,physiologie",1.0,0,0.0
858,pcr,pcr,1.0,0,0.0
860,harrison,harrison,1.0,0,0.0
861,pflegekompetenz,pflegekompetenz,1.0,0,0.0
862,mts,mts,1.0,0,0.0
863,bildgebende AND verfahren,"bildgebende,verfahren",1.0,0,0.0
864,zwang,zwang,1.0,0,0.0
865,medienkompetenz,medienkompetenz,1.0,0,0.0
866,neuroradiologie,neuroradiologie,1.0,0,0.0
867,kinderzahnheilkunde,kinderzahnheilkunde,1.0,0,0.0
868,tagespflege,tagespflege,1.0,0,0.0
869,lazarus,lazarus,1.0,0,0.0
842,didaktik,didaktik,1.0,0,0.0
841,lunge,lunge,1.0,0,0.0
840,f&w,f&w,1.0,0,0.0
826,morbus AND crohn AND therapy,"morbus,crohn,therapy",1.0,0,0.0
814,progressive AND muskelentspannung,"progressive,muskelentspannung",1.0,0,0.0
815,kompressionsverband,kompressionsverband,1.0,0,0.0
816,fragebogen,fragebogen,1.0,0,0.0
817,spinale AND muskelatrophie,"spinale,muskelatrophie",1.0,0,0.0
818,dysarthrie,dysarthrie,1.0,0,0.0
819,gastroenterologie,gastroenterologie,1.0,0,0.0
820,nanda,nanda,1.0,0,0.0
821,dekubitus AND schmerzensgeld,"dekubitus,schmerzensgeld",1.0,0,0.0
822,soziale AND schichtunterschiede AND adipositas,"soziale,schichtunterschiede,adiposita",1.0,0,0.0
823,bienen,bienen,1.0,0,0.0
825,betriebliches AND eingliederungsmanagement,"betriebliche,eingliederungsmanagement",1.0,0,0.0
827,intensivkurs AND psychiatrie AND und AND psychotherapie,"intensivkur,psychiatrie,und,psychotherapie",1.0,0,0.0
839,das AND gesundheitswesen,"das,gesundheitswesen",1.0,0,0.0
828,studien,studien,1.0,0,0.0
829,hausgeburt,hausgeburt,1.0,0,0.0
830,bundesgesundheitsblatt,bundesgesundheitsblatt,1.0,0,0.0
831,magnetkrankenhaus,magnetkrankenhaus,1.0,0,0.0
832,alter,alter,1.0,0,0.0
833,mex AND klinik,"mex,klinik",1.0,0,0.0
834,adipositas AND soziale AND schicht,"adiposita,soziale,schicht",1.0,0,0.0
835,ausfallmanagement,ausfallmanagement,1.0,0,0.0
836,fallbesprechung,fallbesprechung,1.0,0,0.0
837,pflegeroboter,pflegeroboter,1.0,0,0.0
838,empathie,empathie,1.0,0,0.0
546,fallbuch AND chirurgie,"fallbuch,chirurgie",1.0,0,0.0
501,e-health,e-health,1.0,0,0.0
544,palliativ AND care,"palliativ,care",1.0,0,0.0
218,reanimation,reanimation,1.0,0,0.0
187,altenpflege,altenpflege,1.0,0,0.0
188,klimawandel AND in AND china,"klimawandel,china",1.0,0,0.0
189,corona AND virus,"corona,virus",1.0,0,0.0
190,krankenhaus,krankenhaus,1.0,0,0.0
191,palliativ,palliativ,1.0,0,0.0
192,rheuma,rheuma,1.0,0,0.0
193,handelsliberalisierung,handelsliberalisierung,1.0,0,0.0
194,apoplex,apoplex,1.0,0,0.0
195,superheilmittel AND vitamin AND c,"superheilmittel,vitamin,c",1.0,0,0.0
196,covid19,covid19,1.0,0,0.0
197,schmerzen,schmerzen,1.0,0,0.0
200,gewalt AND in AND der AND pflege,"gewalt,der,pflege",1.0,0,0.0
201,immunologie,immunologie,1.0,0,0.0
202,benkert AND hippius,"benkert,hippius",1.0,0,0.0
203,physiologie AND des AND menschen,"physiologie,des,menschen",1.0,0,0.0
204,polytrauma,polytrauma,1.0,0,0.0
205,mrsa,mrsa,1.0,0,0.0
206,neurodermitis,neurodermitis,1.0,0,0.0
207,springendes AND gen,"springende,gen",1.0,0,0.0
208,suzuki AND coupling,"suzuki,coupling",1.0,0,0.0
210,intensivmedizin,intensivmedizin,1.0,0,0.0
211,pflegewissenschaft,pflegewissenschaft,1.0,0,0.0
212,mikrobiom,mikrobiom,1.0,0,0.0
214,pflegemanagement,pflegemanagement,1.0,0,0.0
215,osteoporose,osteoporose,1.0,0,0.0
186,pflegeprozess,pflegeprozess,1.0,0,0.0
185,herold AND innere AND medizin,"herold,innere,medizin",1.0,0,0.0
184,kardiologie,kardiologie,1.0,0,0.0
169,stillen,stillen,1.0,0,0.0
157,medizin,medizin,1.0,0,0.0
158,sturz,sturz,1.0,0,0.0
159,ambient AND assisted AND living AND nursing,"ambient,assist,live,nursing",1.0,0,0.0
160,thrombose,thrombose,1.0,0,0.0
161,praxisanleiter,praxisanleiter,1.0,0,0.0
162,ambient AND assisted AND living AND caring,"ambient,assist,live,care",1.0,0,0.0
163,john AND smith,"john,smith",1.0,0,0.0
164,chirurgie,chirurgie,1.0,0,0.0
165,elektronische AND patientenakte,"elektronische,patientenakte",1.0,0,0.0
166,achtsamkeit,achtsamkeit,1.0,0,0.0
168,hygiene,hygiene,23.0,0,0.0
170,entlassmanagement,entlassmanagement,1.0,0,0.0
183,ethik,ethik,1.0,0,0.0
171,pflegeausbildung,pflegeausbildung,1.0,0,0.0
172,pflegenotstand,pflegenotstand,1.0,0,0.0
173,neonatologie,neonatologie,1.0,0,0.0
174,schwangerschaft,schwangerschaft,1.0,0,0.0
175,musiktherapie,musiktherapie,1.0,0,0.0
176,jurnal AND kesehatan AND komunitas,"jurnal,kesehatan,komunita",1.0,0,0.0
177,medizinische AND statistik,"medizinische,statistik",1.0,0,0.0
178,yoga,yoga,2.0,0,0.0
180,sucht,sucht,1.0,0,0.0
181,arthrose,arthrose,1.0,0,0.0
182,bobath,bobath,1.0,0,0.0
216,herold,herold,1.0,0,0.0
219,ekg,ekg,1.0,0,0.0
155,epilepsie,epilepsie,1.0,0,0.0
220,arbeitszufriedenheit,arbeitszufriedenheit,1.0,0,0.0
253,dbive-42 AND be AND fbef-dbi-5,"dbive-42,fbef-dbi-5",1.0,0,0.0
255,blut,blut,1.0,0,0.0
256,obstipation,obstipation,1.0,0,0.0
257,work AND life AND balance,"work,life,balance",1.0,0,0.0
260,expertenstandard,expertenstandard,1.0,0,0.0
261,zahnmedizin,zahnmedizin,1.0,0,0.0
262,augenheilkunde,augenheilkunde,1.0,0,0.0
263,bandscheibenvorfall,bandscheibenvorfall,1.0,0,0.0
264,social media,"social,medium",61.0,0,0.0
265,virtual AND reality,"virtual,reality",1.0,0,0.0
266,chemie,chemie,1.0,0,0.0
267,die AND schwester AND der AND pfleger,"die,schwester,der,pfleger",1.0,0,0.0
268,onkologische AND pflege,"onkologische,pflege",1.0,0,0.0
269,kunsttherapie,kunsttherapie,1.0,0,0.0
270,problemorientiertes AND lernen,"problemorientierte,lernen",1.0,0,0.0
271,nachhaltigkeit,nachhaltigkeit,1.0,0,0.0
272,schichtarbeit,schichtarbeit,1.0,0,0.0
273,masern AND impfen,"masern,impfen",1.0,0,0.0
275,gesundheitliche AND ungleichheit,"gesundheitliche,ungleichheit",1.0,0,0.0
276,icd AND 10,"icd,10",1.0,0,0.0
277,hno,hno,1.0,0,0.0
278,hebamme,hebamme,1.0,0,0.0
279,ptbs,ptbs,1.0,0,0.0
280,spiegeltherapie,spiegeltherapie,1.0,0,0.0
281,wachkoma,wachkoma,1.0,0,0.0
252,nutrition,nutrition,14.0,0,0.0
251,antibiotika,antibiotika,1.0,0,0.0
250,rettungsdienst,rettungsdienst,1.0,0,0.0
233,ambulante AND pflege,"ambulante,pflege",1.0,0,0.0
221,neurochirurgie,neurochirurgie,1.0,0,0.0
222,intensivpflege,intensivpflege,1.0,0,0.0
223,patientensicherheit,patientensicherheit,1.0,0,0.0
224,geriatrie,geriatrie,1.0,0,0.0
225,depressionen,depressionen,1.0,0,0.0
226,thieme,thieme,1.0,0,0.0
228,herzstillstand,herzstillstand,1.0,0,0.0
229,sport,sport,1.0,0,0.0
230,akademisierung AND pflege,"akademisierung,pflege",1.0,0,0.0
231,pflege AND heute,"pflege,heute",1.0,0,0.0
232,inklusion,inklusion,1.0,0,0.0
234,out-of-hospital AND birth,"out-of-hospital,birth",1.0,0,0.0
249,statistik,statistik,1.0,0,0.0
235,mikrobiologie,mikrobiologie,1.0,0,0.0
236,mitarbeitermotivation,mitarbeitermotivation,1.0,0,0.0
237,bezugspflege,bezugspflege,1.0,0,0.0
238,psychotherapie,psychotherapie,1.0,0,0.0
240,softdrink,softdrink,1.0,0,0.0
241,patricia AND benner,"patricia,benner",1.0,0,0.0
242,mobbing,mob,1.0,0,0.0
243,dissertation,dissertation,1.0,0,0.0
244,herzchirurgie,herzchirurgie,1.0,0,0.0
245,aphasie AND therapie,"aphasie,therapie",1.0,0,0.0
246,bluthochdruck,bluthochdruck,1.0,0,0.0
156,dialyse,dialyse,1.0,0,0.0
154,taschenatlas AND physiologie,"taschenatla,physiologie",1.0,0,0.0
284,hpv,hpv,1.0,0,0.0
86,cancer,cancer,1.0,0,0.0
45,corona,corona,1.0,0,0.0
47,physiologie,physiologie,1.0,0,0.0
48,brustkrebs,brustkreb,1.0,0,0.0
49,delir,delir,1.0,0,0.0
53,bienensterben,bienensterben,1.0,0,0.0
55,schlaganfallpatienten AND zeitfenster,"schlaganfallpatienten,zeitfenster",1.0,0,0.0
56,tlif AND cage,"tlif,cage",1.0,0,0.0
57,covid AND 19,"covid,19",1.0,0,0.0
58,quantitative AND studie AND pflege,"quantitative,studie,pflege",1.0,0,0.0
60,organspende,organspende,1.0,0,0.0
62,crispr cas,"crispr,cas",1.0,0,0.0
63,herzinfarkt,herzinfarkt,1.0,0,0.0
66,anatomie,anatomie,1.0,0,0.0
68,case AND management,"case,management",1.0,0,0.0
69,climate change,"climate,change",11.0,0,0.0
70,hpv-impfung,hpv-impfung,1.0,0,0.0
72,organic farming,"organic,farming",1.0,0,0.0
75,adipositas,adiposita,1.0,0,0.0
77,covid,covid,1.0,0,0.0
78,resilienz,resilienz,1.0,0,0.0
79,schlaganfall,schlaganfall,1.0,0,0.0
80,physiotherapie,physiotherapie,1.0,0,0.0
82,telemedizin,telemedizin,1.0,0,0.0
83,praxisanleitung,praxisanleitung,1.0,0,0.0
84,autismus,autismus,1.0,0,0.0
44,gesundheit,gesundheit,1.0,0,0.0
43,biochemie,biochemie,1.0,0,0.0
42,niedersa* OR brem*,"niedersa,brem",1.0,0,0.0
25,crispr AND cas,"crispr,cas",1.0,0,0.0
3,biodiversity,biodiversity,1.0,0,0.0
7,glyphosate,glyphosate,1.0,0,0.0
9,bioenergy,bioenergy,1.0,0,0.0
10,carcinogenes,carcinogene,1.0,0,0.0
11,microplastics,microplastic,1.0,0,0.0
12,nanomaterial,nanomaterial,1.0,0,0.0
15,schizophrenie,schizophrenie,1.0,0,0.0
17,rubisco,rubisco,1.0,0,0.0
18,breast AND cancer,"breast,cancer",1.0,0,0.0
21,food AND allergy,"food,allergy",1.0,0,0.0
24,organic AND farming,"organic,farming",1.0,0,0.0
27,ecosystem AND services,"ecosystem,service",1.0,0,0.0
41,diabetes,diabete,1.0,0,0.0
29,vegan AND diet,"vegan,diet",1.0,0,0.0
30,hpv AND vaccination,"hpv,vaccination",1.0,0,0.0
32,colony AND collapse AND disorder,"colony,collapse,disorder",1.0,0,0.0
33,trade AND impacts,"trade,impact",1.0,0,0.0
34,jumping AND gene,"jump,gene",1.0,0,0.0
35,demenz,demenz,1.0,0,0.0
36,mukoviszidose,mukoviszidose,1.0,0,0.0
37,covid-19,covid-19,1.0,0,0.0
38,pflege,pflege,1.0,0,0.0
39,dekubitus,dekubitus,1.0,0,0.0
40,sars-cov-2,sars-cov-2,1.0,0,0.0
85,gesundheit AND ungleichheit,"gesundheit,ungleichheit",1.0,0,0.0
87,copd,copd,1.0,0,0.0
153,angst,angst,1.0,0,0.0
88,osteopathie,osteopathie,1.0,0,0.0
124,test,test,48.0,0,0.0
125,transitions AND end AND of AND life,"transition,end,life",1.0,0,0.0
126,vegan,vegan,1.0,0,0.0
127,kommunikation,kommunikation,1.0,0,0.0
128,radiologie,radiologie,1.0,0,0.0
129,last AND year AND of AND life,"year,life",1.0,0,0.0
130,pflegevisite,pflegevisite,1.0,0,0.0
131,pathologie,pathologie,1.0,0,0.0
134,gesundheitskompetenz,gesundheitskompetenz,1.0,0,0.0
135,pulvinaria,pulvinaria,1.0,0,0.0
137,schlaf,schlaf,1.0,0,0.0
138,pharmakologie,pharmakologie,1.0,0,0.0
139,trauma,trauma,1.0,0,0.0
141,soziale AND schicht AND adipositas,"soziale,schicht,adiposita",1.0,0,0.0
142,thromboseprophylaxe,thromboseprophylaxe,1.0,0,0.0
143,gesundheitskompetenz AND health AND literacy,"gesundheitskompetenz,health,literacy",1.0,0,0.0
144,sterbehilfe,sterbehilfe,1.0,0,0.0
145,mitarbeiterbindung,mitarbeiterbindung,1.0,0,0.0
146,karzinogen,karzinogen,1.0,0,0.0
147,tierschutz,tierschutz,1.0,0,0.0
148,bioenergie,bioenergie,1.0,0,0.0
149,beatmung,beatmung,1.0,0,0.0
150,alzheimer,alzheimer,21.0,0,0.0
151,mex,mex,1.0,0,0.0
152,diabetes AND mellitus,"diabete,mellitus",1.0,0,0.0
122,mikroplastik,mikroplastik,1.0,0,0.0
121,aphasie,aphasie,1.0,0,0.0
120,psychiatrie,psychiatrie,1.0,0,0.0
102,krebs,krebs,1.0,0,0.0
89,prometheus,prometheus,1.0,0,0.0
91,adhs,adhs,1.0,0,0.0
92,schmerz,schmerz,1.0,0,0.0
93,dekubitusprophylaxe,dekubitusprophylaxe,1.0,0,0.0
94,multiple AND sklerose,"multiple,sklerose",1.0,0,0.0
95,glyphosat,glyphosat,1.0,0,0.0
96,klimawandel,klimawandel,1.0,0,0.0
97,ergotherapie,ergotherapie,1.0,0,0.0
98,reaktorkatastrophe,reaktorkatastrophe,1.0,0,0.0
99,histologie,histologie,1.0,0,0.0
101,basale AND stimulation,"basale,stimulation",1.0,0,0.0
103,betriebliches AND gesundheitsmanagement,"betriebliche,gesundheitsmanagement",1.0,0,0.0
119,zoonose,zoonose,1.0,0,0.0
104,neuroanatomie,neuroanatomie,1.0,0,0.0
105,innere AND medizin,"innere,medizin",1.0,0,0.0
106,neurologie,neurologie,1.0,0,0.0
109,nahrungsmittelintoleranz,nahrungsmittelintoleranz,1.0,0,0.0
110,notaufnahme,notaufnahme,1.0,0,0.0
112,krankenhaushygiene,krankenhaushygiene,1.0,0,0.0
114,herz,herz,1.0,0,0.0
115,guolin,guolin,1.0,0,0.0
116,ambient AND assisted AND living AND care,"ambient,assist,live,care",1.0,0,0.0
117,herzinsuffizienz,herzinsuffizienz,1.0,0,0.0
118,onkologie,onkologie,1.0,0,0.0
282,empowerment,empowerment,1.0,0,0.0
285,projektmanagement,projektmanagement,1.0,0,0.0
543,soziale AND isolation,"soziale,isolation",1.0,0,0.0
480,physik,physik,1.0,0,0.0
449,endotracheales AND absaugen,"endotracheale,absaugen",1.0,0,0.0
450,bonding AND stillen,"bonding,stillen",1.0,0,0.0
451,intelligenzminderung,intelligenzminderung,1.0,0,0.0
452,schulgesundheitspflege,schulgesundheitspflege,1.0,0,0.0
453,medizinrecht,medizinrecht,1.0,0,0.0
454,humoralmedizin,humoralmedizin,1.0,0,0.0
455,innere AND medizin AND herold,"innere,medizin,herold",1.0,0,0.0
456,krankenhausmanagement,krankenhausmanagement,1.0,0,0.0
457,akademisierung AND der AND pflege,"akademisierung,der,pflege",1.0,0,0.0
458,schluss AND mit AND sodbrennen,"schluss,mit,sodbrennen",1.0,0,0.0
459,therapeutisches AND klettern,"therapeutische,klettern",1.0,0,0.0
460,embryologie,embryologie,1.0,0,0.0
462,dsm AND 5,"dsm,5",1.0,0,0.0
465,einarbeitung,einarbeitung,1.0,0,0.0
467,lbh589 AND klein,"lbh589,klein",1.0,0,0.0
468,wundmanagement,wundmanagement,1.0,0,0.0
469,gesundheitswesen,gesundheitswesen,1.0,0,0.0
470,herzschrittmacher,herzschrittmacher,1.0,0,0.0
471,ards,ard,1.0,0,0.0
472,amyotrophe AND lateralsklerose,"amyotrophe,lateralsklerose",1.0,0,0.0
473,scham,scham,1.0,0,0.0
474,delir AND intensivstation,"delir,intensivstation",1.0,0,0.0
476,intervallfasten,intervallfasten,1.0,0,0.0
477,zivilisationskrankheit,zivilisationskrankheit,1.0,0,0.0
478,selbstmanagement,selbstmanagement,1.0,0,0.0
448,striebel,striebel,1.0,0,0.0
447,antonovsky,antonovsky,1.0,0,0.0
446,kreuzbandriss,kreuzbandriss,1.0,0,0.0
431,digitalisierung AND pflege,"digitalisierung,pflege",1.0,0,0.0
419,low AND back AND pain AND physiotherapy,"low,pain,physiotherapy",1.0,0,0.0
420,qualitative AND forschung,"qualitative,forschung",1.0,0,0.0
421,epidemiologie,epidemiologie,1.0,0,0.0
422,alkohol,alkohol,1.0,0,0.0
424,leber,leber,1.0,0,0.0
425,hirntod,hirntod,1.0,0,0.0
426,sprachtherapie,sprachtherapie,1.0,0,0.0
427,pflegediagnosen,pflegediagnosen,1.0,0,0.0
428,pubmed,pubme,1.0,0,0.0
429,allgemeinmedizin,allgemeinmedizin,1.0,0,0.0
430,pflegepersonaluntergrenzen,pflegepersonaluntergrenzen,1.0,0,0.0
432,psychische AND gesundheit,"psychische,gesundheit",1.0,0,0.0
445,mrt,mrt,1.0,0,0.0
433,fieber,fieber,1.0,0,0.0
434,skoliose,skoliose,1.0,0,0.0
435,beratung,beratung,1.0,0,0.0
436,selbstwirksamkeit,selbstwirksamkeit,1.0,0,0.0
437,burn AND out,burn,1.0,0,0.0
439,1256-dibenzanthracene,1256-dibenzanthracene,1.0,0,0.0
440,kinder AND psychisch AND kranker AND eltern,"kinder,psychisch,kranker,eltern",1.0,0,0.0
441,prostatakrebs,prostatakrebs,1.0,0,0.0
442,onboarding,onboarde,1.0,0,0.0
443,medizinische AND psychologie AND und AND soziologie,"medizinische,psychologie,und,soziologie",1.0,0,0.0
444,tdcs,tdcs,1.0,0,0.0
479,change AND management,"change,management",1.0,0,0.0
481,beipackzettel,beipackzettel,1.0,0,0.0
417,medizintechnik,medizintechnik,1.0,0,0.0
482,kaiserschnitt,kaiserschnitt,1.0,0,0.0
514,one AND minute AND wonder,"minute,wonder",1.0,0,0.0
515,nudging,nudge,1.0,0,0.0
516,geburtshilfe,geburtshilfe,1.0,0,0.0
517,mayring,mayring,1.0,0,0.0
518,skills AND lab,"skill,lab",1.0,0,0.0
519,ehealth,ehealth,1.0,0,0.0
520,atemstimulierende AND einreibung,"atemstimulierende,einreibung",1.0,0,0.0
521,tracheostoma,tracheostoma,1.0,0,0.0
522,kommunikation AND pflege,"kommunikation,pflege",1.0,0,0.0
523,ethik AND in AND der AND medizin,"ethik,der,medizin",1.0,0,0.0
526,telemonitoring,telemonitore,1.0,0,0.0
527,soziale AND ungleichheit AND und AND psychische AND gesundheit,"soziale,ungleichheit,und,psychische,gesundheit",1.0,0,0.0
528,/etc/passwd,/etc/passwd,1.0,0,0.0
529,chronischer AND schmerz,"chronischer,schmerz",1.0,0,0.0
530,social AND media,"social,medium",1.0,0,0.0
531,pflegetheorien,pflegetheorien,1.0,0,0.0
532,osteopathy,osteopathy,1.0,0,0.0
533,medikamente,medikamente,1.0,0,0.0
534,http//www.google.com,http//www.google.com,1.0,0,0.0
535,systematic AND review AND protocol,"systematic,review,protocol",1.0,0,0.0
537,schulter,schulter,1.0,0,0.0
538,diabetis,diabetis,1.0,0,0.0
539,sobotta,sobotta,1.0,0,0.0
540,palliativpflege,palliativpflege,1.0,0,0.0
542,doktorarbeit,doktorarbeit,1.0,0,0.0
513,asthma AND bronchiale,"asthma,bronchiale",1.0,0,0.0
512,schmerzwahrnehmung,schmerzwahrnehmung,1.0,0,0.0
511,prokrastination,prokrastination,1.0,0,0.0
495,hygiene AND im AND patientenhaushalt,"hygiene,m,patientenhaushalt",1.0,0,0.0
483,autism,autism,1.0,0,0.0
485,schwangerschaftsabbruch,schwangerschaftsabbruch,1.0,0,0.0
486,verhaltenstherapie,verhaltenstherapie,1.0,0,0.0
487,rechtsmedizin,rechtsmedizin,1.0,0,0.0
488,rauchen,rauchen,1.0,0,0.0
489,parodontologie,parodontologie,1.0,0,0.0
490,psychoedukation,psychoedukation,1.0,0,0.0
491,kurzlehrbuch AND pathologie,"kurzlehrbuch,pathologie",1.0,0,0.0
492,neurofeedback,neurofeedback,1.0,0,0.0
493,wunde,wunde,1.0,0,0.0
494,recovery,recovery,4.0,0,0.0
496,prosthetic AND joint AND infection AND diagnose AND method,"prosthetic,joint,infection,diagnose,method",1.0,0,0.0
510,advance AND care AND planning,"advance,care,plan",1.0,0,0.0
497,crispr,crispr,1.0,0,0.0
498,faszien,faszien,1.0,0,0.0
499,springer,springer,1.0,0,0.0
500,duale AND reihe,"duale,reihe",1.0,0,0.0
502,emotionsregulation,emotionsregulation,1.0,0,0.0
503,peplau,peplau,1.0,0,0.0
504,pnf,pnf,1.0,0,0.0
506,transgender,transgender,1.0,0,0.0
507,werkstoffkunde,werkstoffkunde,1.0,0,0.0
508,craniosacral,craniosacral,1.0,0,0.0
509,qualitative AND sozialforschung,"qualitative,sozialforschung",1.0,0,0.0
418,flossing,floss,1.0,0,0.0
416,intensiv,intensiv,1.0,0,0.0
286,demographischer AND wandel,"demographischer,wandel",1.0,0,0.0
349,hypertonie,hypertonie,1.0,0,0.0
319,ekel,ekel,1.0,0,0.0
320,echokardiographie,echokardiographie,1.0,0,0.0
321,drg,drg,1.0,0,0.0
322,gesundheitsverhalten,gesundheitsverhalten,1.0,0,0.0
323,mammakarzinom,mammakarzinom,1.0,0,0.0
326,psychiatrische AND pflege,"psychiatrische,pflege",1.0,0,0.0
327,patientenedukation,patientenedukation,1.0,0,0.0
328,ambient AND assisted AND living AND and AND care,"ambient,assist,live,care",1.0,0,0.0
329,pflegeforschung,pflegeforschung,1.0,0,0.0
330,gesundheitsmanagement,gesundheitsmanagement,1.0,0,0.0
331,dermatologie,dermatologie,1.0,0,0.0
332,psychoonkologie,psychoonkologie,1.0,0,0.0
333,trisomie AND 21,"trisomie,21",1.0,0,0.0
334,notfallversorgung,notfallversorgung,1.0,0,0.0
335,intensivtagebuch,intensivtagebuch,1.0,0,0.0
336,generalistische AND pflegeausbildung,"generalistische,pflegeausbildung",1.0,0,0.0
337,coping,cope,1.0,0,0.0
338,ecmo,ecmo,1.0,0,0.0
340,prosthetic AND joint AND infection AND riskfactors,"prosthetic,joint,infection,riskfactor",1.0,0,0.0
341,spss,spss,1.0,0,0.0
342,soziale AND ungleichheit,"soziale,ungleichheit",1.0,0,0.0
344,karies,karie,1.0,0,0.0
345,ains,ain,1.0,0,0.0
346,manipulation,manipulation,8.0,0,0.0
347,schmerzmanagement,schmerzmanagement,1.0,0,0.0
317,udca,udca,1.0,0,0.0
316,prothetik,prothetik,1.0,0,0.0
315,sterbebegleitung,sterbebegleitung,1.0,0,0.0
300,pflegeberatung,pflegeberatung,1.0,0,0.0
287,endspurt,endspurt,1.0,0,0.0
288,geburt,geburt,1.0,0,0.0
289,burnout AND pflege,"burnout,pflege",1.0,0,0.0
290,gewalt,gewalt,1.0,0,0.0
291,kinder,kind,1.0,0,0.0
293,migration,migration,1.0,0,0.0
294,psychische AND erkrankungen,"psychische,erkrankungen",1.0,0,0.0
296,katzung,katzung,1.0,0,0.0
297,welsch,welsch,1.0,0,0.0
298,labormedizin,labormedizin,1.0,0,0.0
299,shared AND decision AND making,"share,decision,make",1.0,0,0.0
301,das AND krankenhaus,"das,krankenhaus",1.0,0,0.0
314,lernen,lernen,1.0,0,0.0
302,pflegeplanung,pflegeplanung,1.0,0,0.0
304,heilpraktiker,heilpraktiker,1.0,0,0.0
305,magersucht,magersucht,1.0,0,0.0
306,welsch AND histologie,"welsch,histologie",1.0,0,0.0
307,urologie,urologie,1.0,0,0.0
308,morbus AND parkinson,"morbus,parkinson",1.0,0,0.0
309,vitamin AND c,"vitamin,c",1.0,0,0.0
310,morbus AND crohn,"morbus,crohn",1.0,0,0.0
311,histologie AND welsch,"histologie,welsch",1.0,0,0.0
312,virologie,virologie,1.0,0,0.0
313,klinische AND chemie,"klinische,chemie",1.0,0,0.0
348,jamali AND narisi,"jamali,narisi",1.0,0,0.0
351,supervision,supervision,1.0,0,0.0
415,personalentwicklung,personalentwicklung,1.0,0,0.0
352,suizid,suizid,1.0,0,0.0
384,strahlentherapie,strahlentherapie,1.0,0,0.0
385,colitis AND ulcerosa,"colitis,ulcerosa",1.0,0,0.0
386,aids,aid,6.0,0,0.0
388,impfen,impfen,1.0,0,0.0
389,ebola,ebola,1.0,0,0.0
390,wundversorgung,wundversorgung,1.0,0,0.0
391,pandemie,pandemie,1.0,0,0.0
393,schmerztherapie,schmerztherapie,1.0,0,0.0
394,lancet,lancet,1.0,0,0.0
395,aromapflege,aromapflege,1.0,0,0.0
397,icf,icf,1.0,0,0.0
398,mitarbeiterzufriedenheit,mitarbeiterzufriedenheit,1.0,0,0.0
399,fasd,fasd,1.0,0,0.0
400,gestationsdiabetes,gestationsdiabete,1.0,0,0.0
401,stoma,stoma,1.0,0,0.0
402,anamnese,anamnese,1.0,0,0.0
403,risikomanagement,risikomanagement,1.0,0,0.0
404,biochemie AND des AND menschen,"biochemie,de,menschen",1.0,0,0.0
405,chronische AND schmerzen,"chronische,schmerzen",1.0,0,0.0
406,palliativmedizin,palliativmedizin,1.0,0,0.0
408,dienstplan,dienstplan,1.0,0,0.0
409,prostatakarzinom,prostatakarzinom,1.0,0,0.0
410,impfung,impfung,1.0,0,0.0
412,transkulturelle AND pflege,"transkulturelle,pflege",1.0,0,0.0
413,manuelle AND therapie,"manuelle,therapie",1.0,0,0.0
382,i AND care,care,100.0,0,0.0
381,versorgungsforschung,versorgungsforschung,1.0,0,0.0
380,praxisanleitung AND pflege,"praxisanleitung,pflege",1.0,0,0.0
365,entwicklungspsychologie,entwicklungspsychologie,1.0,0,0.0
353,peep AND trial,"peep,trial",1.0,0,0.0
354,die AND hebamme,"die,hebamme",1.0,0,0.0
355,postpartale AND depression,"postpartale,depression",1.0,0,0.0
356,crps,crps,1.0,0,0.0
357,compliance,compliance,18.0,0,0.0
359,pschyrembel,pschyrembel,1.0,0,0.0
360,down AND syndrom,syndrom,1.0,0,0.0
361,stottern,stottern,1.0,0,0.0
362,pkms,pkms,1.0,0,0.0
363,fallbuch AND innere AND medizin,"fallbuch,innere,medizin",1.0,0,0.0
364,fotoatlas AND neuroanatomie,"fotoatlas,neuroanatomie",1.0,0,0.0
366,pflegekammer,pflegekammer,1.0,0,0.0
379,oberschenkelhalsbruch,oberschenkelhalsbruch,1.0,0,0.0
367,partizipation,partizipation,1.0,0,0.0
369,patientenzufriedenheit,patientenzufriedenheit,1.0,0,0.0
370,endometriose,endometriose,1.0,0,0.0
371,safewards,safeward,1.0,0,0.0
372,stephan AND g AND allmendinger,"stephan,g,allmendinger",1.0,0,0.0
373,hypnobirthing,hypnobirthe,1.0,0,0.0
374,kinderkrankenpflege,kinderkrankenpflege,1.0,0,0.0
375,kultursensible AND pflege,"kultursensible,pflege",1.0,0,0.0
376,einsamkeit,einsamkeit,1.0,0,0.0
377,generation AND z,"generation,z",1.0,0,0.0
378,bindung,bindung,1.0,0,0.0
1000,konfliktmanagement,konfliktmanagement,1.0,0,0.0
